caseid,method,noise_bin,gaussian_sigma,rician_sigma,mae,rmse,psnr,ssim
1013372,Gaussian,low,13.825552411809303,8.170009946032138,0.00838820,0.01169750,38.63814054,0.99491751
1013372,NLM,low,13.825552411809303,8.170009946032138,0.00562898,0.00710803,42.96501910,0.99602252
1013372,ResidualUNet,low,13.825552411809303,8.170009946032138,0.00495849,0.00628245,44.03741359,0.99714702
1015722,Noisy,mid,8.356822606809649,16.066290176348836,0.00492240,0.00621592,44.12988697,0.99707627
1015722,Gaussian,mid,8.356822606809649,16.066290176348836,0.00844778,0.01195321,38.45031205,0.99540186
1015722,NLM,mid,8.356822606809649,16.066290176348836,0.00491572,0.00620797,44.14101225,0.99709547
1015722,ResidualUNet,mid,8.356822606809649,16.066290176348836,0.00447425,0.00566152,44.94134400,0.99773335
1018222,Noisy,mid,16.359048001445853,15.5330471428894,0.00570341,0.00720153,42.85150465,0.99536520
1018222,Gaussian,mid,16.359048001445853,15.5330471428894,0.00864497,0.01202148,38.40084019,0.99420404
1018222,NLM,mid,16.359048001445853,15.5330471428894,0.00569883,0.00720438,42.84806596,0.99526149
1018222,ResidualUNet,mid,16.359048001445853,15.5330471428894,0.00501325,0.00635827,43.93321808,0.99677122
1019608,Noisy,low,18.50680201053385,9.67842497519962,0.00669013,0.00844458,41.46844369,0.99370980
1019608,Gaussian,low,18.50680201053385,9.67842497519962,0.00889152,0.01231438,38.19174699,0.99335909
1019608,NLM,low,18.50680201053385,9.67842497519962,0.00666953,0.00842065,41.49309101,0.99378937
1019608,ResidualUNet,low,18.50680201053385,9.67842497519962,0.00568079,0.00720238,42.85047720,0.99579716
1021331,Noisy,high,17.6973069745669,21.941399289085574,0.00915723,0.01155609,38.74378308,0.98975343
1021331,Gaussian,high,17.6973069745669,21.941399289085574,0.01071930,0.01416668,36.97463837,0.99045718
1021331,NLM,high,17.6973069745669,21.941399289085574,0.00893675,0.01130327,38.93591857,0.99043673
1021331,ResidualUNet,high,17.6973069745669,21.941399289085574,0.00755921,0.00961391,40.34200294,0.99388880
1021722,Noisy,low,14.646106361880726,9.845872410278607,0.00478992,0.00604975,44.36524673,0.99667460
1021722,Gaussian,low,14.646106361880726,9.845872410278607,0.00822870,0.01179725,38.56438687,0.99543691
1021722,NLM,low,14.646106361880726,9.845872410278607,0.00478446,0.00604605,44.37056492,0.99665529
1021722,ResidualUNet,low,14.646106361880726,9.845872410278607,0.00427672,0.00541926,45.32119569,0.99758524
1022128,Noisy,low,17.285845671476235,9.270225240715614,0.00503256,0.00635311,43.94026816,0.99670792
1022128,Gaussian,low,17.285845671476235,9.270225240715614,0.00840339,0.01170715,38.63097410,0.99521500
1022128,NLM,low,17.285845671476235,9.270225240715614,0.00507159,0.00641341,43.85822634,0.99646223
1022128,ResidualUNet,low,17.285845671476235,9.270225240715614,0.00455304,0.00576160,44.78913673,0.99749619
1025021,Noisy,low,15.214257571678882,7.16287045816653,0.00498444,0.00629365,44.02194914,0.99625659
1025021,Gaussian,low,15.214257571678882,7.16287045816653,0.00811502,0.01149374,38.79077466,0.99489921
1025021,NLM,low,15.214257571678882,7.16287045816653,0.00497582,0.00628350,44.03597275,0.99627256
1025021,ResidualUNet,low,15.214257571678882,7.16287045816653,0.00448710,0.00568031,44.91256023,0.99719030
1025885,Noisy,mid,8.334500390021642,15.770876668687846,0.00596360,0.00753020,42.46387135,0.99609476
1025885,Gaussian,mid,8.334500390021642,15.770876668687846,0.00939172,0.01301408,37.71173243,0.99467415
1025885,NLM,mid,8.334500390021642,15.770876668687846,0.00594833,0.00751302,42.48371177,0.99612325
1025885,ResidualUNet,mid,8.334500390021642,15.770876668687846,0.00528483,0.00669443,43.48572947,0.99717861
1027775,Noisy,high,22.05193574445708,21.182652169872057,0.00938270,0.01183989,38.53304398,0.98895001
1027775,Gaussian,high,22.05193574445708,21.182652169872057,0.01093829,0.01452669,36.75666647,0.98975569
1027775,NLM,high,22.05193574445708,21.182652169872057,0.00927837,0.01172258,38.61953666,0.98950136
1027775,ResidualUNet,high,22.05193574445708,21.182652169872057,0.00775657,0.00986378,40.11913212,0.99327397
1027918,Noisy,high,10.22550853617215,20.527467403666392,0.00550538,0.00695035,43.15986533,0.99543035
1027918,Gaussian,high,10.22550853617215,20.527467403666392,0.00838084,0.01185597,38.52125692,0.99445832
1027918,NLM,high,10.22550853617215,20.527467403666392,0.00545993,0.00689777,43.22582529,0.99557912
1027918,ResidualUNet,high,10.22550853617215,20.527467403666392,0.00480125,0.00609233,44.30432678,0.99687517
1028490,Noisy,high,16.618354961703318,22.26061621696776,0.00817018,0.01031490,39.73070063,0.99126947
1028490,Gaussian,high,16.618354961703318,22.26061621696776,0.01002920,0.01348815,37.40095000,0.99154991
1028490,NLM,high,16.618354961703318,22.26061621696776,0.00798112,0.01009538,39.91754727,0.99183571
1028490,ResidualUNet,high,16.618354961703318,22.26061621696776,0.00686559,0.00873017,41.17954647,0.99451327
1030024,Noisy,low,17.639076324972613,13.170101475365115,0.00717129,0.00905123,40.86585257,0.99323225
1030024,Gaussian,low,17.639076324972613,13.170101475365115,0.00938471,0.01281919,37.84279053,0.99277502
1030024,NLM,low,17.639076324972613,13.170101475365115,0.00713962,0.00901476,40.90091699,0.99336445
1030024,ResidualUNet,low,17.639076324972613,13.170101475365115,0.00606293,0.00769414,42.27679950,0.99557185
1031157,Noisy,low,11.268682600142915,12.050317027781347,0.00444700,0.00561553,45.01218728,0.99714917
1031157,Gaussian,low,11.268682600142915,12.050317027781347,0.00779498,0.01114320,39.05979829,0.99559361
1031157,NLM,low,11.268682600142915,12.050317027781347,0.00451905,0.00572518,44.84421407,0.99670208
1031157,ResidualUNet,low,11.268682600142915,12.050317027781347,0.00404524,0.00511998,45.81463930,0.99782312
1031541,Noisy,low,16.814133818927303,9.492029397399271,0.00572362,0.00722633,42.82164594,0.99576473
1031541,Gaussian,low,16.814133818927303,9.492029397399271,0.00864942,0.01189802,38.49050389,0.99422383
1031541,NLM,low,16.814133818927303,9.492029397399271,0.00599200,0.00762339,42.35703155,0.99411106
1031541,ResidualUNet,low,16.814133818927303,9.492029397399271,0.00519555,0.00657671,43.63982235,0.99673259
1033562,Noisy,high,19.900301580391716,23.84527898125208,0.00893747,0.01128037,38.95353206,0.98796666
1033562,Gaussian,high,19.900301580391716,23.84527898125208,0.01048176,0.01419638,36.95644997,0.98975915
1033562,NLM,high,19.900301580391716,23.84527898125208,0.00891095,0.01125191,38.97547363,0.98812276
1033562,ResidualUNet,high,19.900301580391716,23.84527898125208,0.00705885,0.00900721,40.90819392,0.99346781
1037153,Noisy,low,8.76439565911374,8.277076827717922,0.00376542,0.00475516,46.45669145,0.99831468
1037153,Gaussian,low,8.76439565911374,8.277076827717922,0.00730142,0.01030511,39.73894909,0.99634320
1037153,NLM,low,8.76439565911374,8.277076827717922,0.00378344,0.00478203,46.40775995,0.99825609
1037153,ResidualUNet,low,8.76439565911374,8.277076827717922,0.00358652,0.00453275,46.87277290,0.99849522
1038788,Noisy,high,14.338960689898496,21.906360799667915,0.00818301,0.01032840,39.71934071,0.99236542
1038788,Gaussian,high,14.338960689898496,21.906360799667915,0.01003363,0.01338964,37.46462121,0.99213517
1038788,NLM,high,14.338960689898496,21.906360799667915,0.00808034,0.01021063,39.81895290,0.99264300
1038788,ResidualUNet,high,14.338960689898496,21.906360799667915,0.00690067,0.00876105,41.14888008,0.99499625
1039036,Noisy,mid,21.664826795123044,16.098953387647335,0.00758395,0.00957042,40.38138063,0.99185097
1039036,Gaussian,mid,21.664826795123044,16.098953387647335,0.00946303,0.01269666,37.92620678,0.99214160
1039036,NLM,mid,21.664826795123044,16.098953387647335,0.00748893,0.00946099,40.48127198,0.99224013
1039036,ResidualUNet,mid,21.664826795123044,16.098953387647335,0.00635536,0.00807670,41.85531740,0.99491942
1041095,Noisy,high,10.240978461757363,20.97734575501345,0.00641460,0.00809653,41.83402498,0.99422741
1041095,Gaussian,high,10.240978461757363,20.97734575501345,0.00916273,0.01262793,37.97335786,0.99334466
1041095,NLM,high,10.240978461757363,20.97734575501345,0.00634854,0.00802050,41.91596807,0.99443698
1041095,ResidualUNet,high,10.240978461757363,20.97734575501345,0.00550386,0.00698981,43.11069094,0.99618286
1041627,Noisy,low,7.46236967137415,10.895368948804766,0.00462140,0.00583590,44.67784512,0.99711746
1041627,Gaussian,low,7.46236967137415,10.895368948804766,0.00804177,0.01122731,38.99448579,0.99511909
1041627,NLM,low,7.46236967137415,10.895368948804766,0.00464256,0.00586767,44.63068224,0.99695581
1041627,ResidualUNet,low,7.46236967137415,10.895368948804766,0.00423326,0.00535456,45.42553162,0.99771810
1047467,Noisy,high,20.118050819208097,21.113283344968032,0.00833062,0.01051660,39.56249623,0.99087745
1047467,Gaussian,high,20.118050819208097,21.113283344968032,0.00994410,0.01329249,37.52787469,0.99143791
1047467,NLM,high,20.118050819208097,21.113283344968032,0.00828442,0.01046350,39.60645834,0.99107623
1047467,ResidualUNet,high,20.118050819208097,21.113283344968032,0.00691349,0.00877757,41.13251282,0.99434477
1047975,Noisy,mid,20.953953638757195,13.37273715666434,0.00855182,0.01079317,39.33701825,0.99132425
1047975,Gaussian,mid,20.953953638757195,13.37273715666434,0.01021759,0.01369822,37.26671734,0.99130005
1047975,NLM,mid,20.953953638757195,13.37273715666434,0.00845915,0.01068730,39.42263800,0.99169207
1047975,ResidualUNet,mid,20.953953638757195,13.37273715666434,0.00709235,0.00900615,40.90921216,0.99447876
1048564,Noisy,high,16.599380449000066,25.773328501192427,0.00742719,0.00937474,40.56081843,0.99181539
1048564,Gaussian,high,16.599380449000066,25.773328501192427,0.00903081,0.01211796,38.33141033,0.99243551
1048564,NLM,high,16.599380449000066,25.773328501192427,0.00728833,0.00921584,40.70930516,0.99240077
